# Bluetooth SIG Assigned Numbers, as sdrtop's signal::ble::assigned
# reads them. Generated by packaging/update-sig.sh; do not edit by
# hand. KIND<TAB>NUMBER<TAB>NAME: C a company identifier, S a 16-bit
# service UUID, the number in hex.
# fetched 2026-09-22
# source https://bitbucket.org/bluetooth-SIG/public company_identifiers.yaml rows 4035 sha256 7e9b9ce18e6a4fc9681856f1c224994843ca9273a223e74295c21624ec1d8bc5
# source https://bitbucket.org/bluetooth-SIG/public service_uuids.yaml rows 76 sha256 401d8e0962d2586dc2526e9ecedef40803c6e09b689767a526e86caa783c3166
C	00F7	VSN Technologies, Inc.
C	00F8	AceUni Corp., Ltd.
C	00FA	Crystal Alarm AB
C	00FB	KOUKAAM a.s.
C	00FC	Delphi Corporation
C	00FD	ValenceTech Limited
C	00FE	Stanley Black and Decker
C	00FF	Typo Products, LLC
C	0100	TomTom International BV
C	0101	Fugoo, Inc.
C	0102	Keiser Corporation
C	0103	Bang & Olufsen A/S
C	0104	PLUS Location Systems Pty Ltd
C	0105	Ubiquitous Computing Technology Corporation
C	0106	Innovative Yachtter Solutions
C	0107	Demant A/S
C	0108	Chicony Electronics Co., Ltd.
C	0109	Atus BV
C	010A	Codegate Ltd
C	010B	ERi, Inc
C	010C	Transducers Direct, LLC
C	010D	DENSO TEN Limited
C	010E	Audi AG
C	010F	HiSilicon Technologies CO., LIMITED
C	0110	Nippon Seiki Co., Ltd.
C	0111	Steelseries ApS
C	0112	Visybl Inc.
C	0113	Openbrain Technologies, Co., Ltd.
C	0115	e.solutions
C	0116	10AK Technologies
C	0117	Wimoto Technologies Inc
C	0118	Radius Networks, Inc.
C	011A	Qualcomm Labs, Inc.
C	011B	Hewlett Packard Enterprise
C	011C	Baidu
C	011D	Arendi AG
C	011E	Skoda Auto a.s.
C	011F	Volkswagen AG
C	0120	Porsche AG
C	0121	Sino Wealth Electronic Ltd.
C	0122	AirTurn, Inc.
C	0123	Kinsa, Inc
C	0124	HID Global
